Name,Date,Location,Stars,Subject,Comment,Response,Title
Rupesh27,29 October 2014,"
Navi Mumbai, India
",4,Good one,"
We went for our honeymoon and found it to be good. I specially asked for mountain view room which I got and room was decorated as promised. Complimentary breakfast was also okay. Overall a pleasant stay... :)
",,"
Gangtok - Delisso Abode, A Sterling Holidays Resort
"
OmprakashMulchandan,28 October 2014,"
Navi Mumbai, India
",4,Very Good Property,"
It was truly good experience we the three persons ( male) had. we stayed in room no. 304 on second floor with window facing Kanchenjunga Mountain. There are six rooms having such view. Staff was very good and well behaved. Service was also nice. Restaurant is also nice, only costly thing I found there was ordinary ROTI priced Rs 45/-...
",,"
Gangtok - Delisso Abode, A Sterling Holidays Resort
"
Wadesh44,4 August 2015,"
Pune, India
",5,Good Resort in Ooty,"
Good rooms, Mind blowing service in this Resort. I think, Sterling holidays is coming back to good days. But, still the facility needs to be increased like the bathroom amenities, food variety particularly the option of food has to be changed since we have chance of going outside nearby. Staff are very polite and doing great job in the restaurant,...
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
keshu_75,4 August 2015,"
Mumbai, India
",5,Simply Superb!,"
This Fernhill Resort was located ideally in Ooty. Have all the fun games which the kids can enjoy it as well as younger too. The food in the restaurant was tasty but little spicy. Rooms which allotted for us was specious, neat and clean.Mr. Vivek form Housekeeping an extra ordinary staff for Fern hill. I strongly recommended to the travelers...
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
Chetana P,30 July 2015,"
",4,resort with a lovely view,"
A good hotel with probably the best view. please take a room with a good view and baclony. the balconies are really good and large. it was really chilly when we went there. however there arent any facilities in the hotel except for TT table. we had the lunch buffet there, approx 800/- but very very nice spread .
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
priyaflorence,29 July 2015,"
Pune, India
",4,"Beautiful Weather, Great Food","
We had a lovely, relaxing vacation at this resort in May. The rooms were great. The weather was just awesome. While the rest of India was sweltering in the heat, the temperature here did not go above 17 degrees Celsius. We even had to ask for heaters in the room because the rains had begun and it got pretty cold...
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
Dinesh_dcool70,26 July 2015,"
Bengaluru (Bangalore), India
",4,Worst management with Great manager,"
This will be a short review for Sterling Holidays...people and friends around me told to stay in Fern hill ooty this time so had stayed with my lovely family. The property was good, Nice garden, fully greenish in front of our room, chill claimate etc...The room was not great but yes surely nice, food was also good. When everything was...
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
HareshDoshi,23 July 2015,"
Bengaluru (Bangalore), India
",5,Sterling Holidays Resort NOW is completely changing towards excellency,"
Sterling BEFORE and NOW has completely changed except that their organisation from TOP to bottom will have to work hard to regain the goodwill lost within so many years...! I would rate Sterling now as similar - better than Mahindra Holidays.
Their Resort Manager- Ooty, Mr. Akash Gupta is highly active and successful in maintaining the SMILING faces on their...
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
kajjall26,22 July 2015,"
",4,a queen of hill stations,"
I heard a lot about the place from my friends, family,,, so I decided to visit the place last summer vacation, sight seeing if ooty is fab,,,like pine forest, pykara lake,pykara falls,suicide point,dodabetta peak and so on,,,but the main city is not very clean place,,abandoned horses from racing arena are roaming here and there,heaps of garbage are frequent,,, please make...
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
SathyaSuni,19 July 2015,"
London, United Kingdom
",4,Fantastic Family holiday,"
I would strongly recommend Sterling Ooty Fern Hill. I am from London and we recently had an extended family holiday of 30 + people including kids. Unanimously our family felt that the resort was an ideal location for the entire family- with activities for all age groups- right from grandparents to grandchildren. I would like to make a special mention...
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
ganesh_janakiraman,19 July 2015,"
Dallas, Texas
",5,Relaxing Vacation,"
The staff was extremely pleasant and helpful. The room and the view was great. The breakfast buffet was fabulous. We also enjoyed the evening activities conducted by the hotel staff. If there is one thing I could complain about, it was a minor but noticeable unpleasant smell in the part of the lobby which is close to the wash room.
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
nainaswarup,18 July 2015,"
Mumbai, India
",5,Beautiful way to see ooty,"
Lovely place with a beautiful view and ambiance
Food was spectacular
They did not shy away from the fact that they were overpacked and instead offered us a better room than we had paid for!
Amazing reception and a special mention to Mr Samrat who was not just a good host but a very warm person also...
Food was amazing...
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
Sandeep_Raturi,7 July 2015,"
New Delhi, India
",3,OK. Good spread out hotel but basic service level.,"
Rooms are nice and spacious. Changing room with the bathroom. Normal facilities like 32  LED TV, Mini Bar (nothing inside it though), Tea Cofee maker. Tented rooms and AC is reasonably effective. There are other category of rooms also near the reception area. Spread our property with lawns. One can also play cricket on the ground. Swimming pool seems...
","
Dear Sir,
Namaste!
Thank you for choosing to holiday with us at Sariska - Tiger Heaven. We appreciate your taking the time to share your review of our resort.
We are extremely grateful to you for writing such a balanced and honest feedback that has enabled us to understand your experience in detail from a guest perspective. We apologize for...
","
Sariska Tiger Heaven
"
RajivRanjanSinha,30 June 2015,"
New Delhi
",4,OK. Good spread out hotel but basic service level.,"
Stay was good. Overall the resort property is nicely located in vicinity of Jungle.
We really enjoyed our stay in the Tent House Rooms.
The property is surrounded with lush green, food in machan restaurant is nice,
Swimming pool is nicely build to accommodate the comfort of kids as well as adults.
The activity area is something i really liked...
",,"
Sariska Tiger Heaven
"
VASUKUMARMODA,30 June 2015,"
New Delhi, India
",4,Nice Weekend Destination for Jungle Lovers,"
Nice place with peace, and at convenient place. Rooms are good, service needs improvements.
Variety of Food is less but taste is nice. Since we opted for buffet meals, are not aware of room service. Nature at its most
",,"
Sariska Tiger Heaven
"
ashish972000,29 June 2015,"
Gurgaon, India
",1,Good place to relax,"
We had a terrible experience at this hotel. Too many defects / issues:
1. Misleading Picture of Room displayed on Expedia (even today it is incorrectly displayed). We booked a ""Superior Room"" after seeing the picture in Expedia. But after reaching hotel we were told that the room in picture is actually ""Studio Room"", the ""Superior Room"" is much smaller...
","
Dear Sir,
Namaste!
We appreciate your taking the time to share your review of Sariska - Tiger Heaven.
We apologize for not being able to extend a comfortable stay to you. We are regretful to learn that issues such as electricity, telephone, water and air conditioning kept us from delivering our best. We have noted your feedback on these and...
","
Sariska Tiger Heaven
"
PankajKandpal,24 June 2015,"
New Delhi, India
",4,Bad Experience,"
We opted this hotel for our Sariska Tigetr Reserve visit this summer few days back with my family and overall i would rate our stay very good with few minor hickups.
Plus - The location is very good, the rooms are decent, the food was ok (its all buffet no ala carte).
Minus - The room service is not great,...
",,"
Sariska Tiger Heaven
"
Aditi_k88,22 June 2015,"
Hyderabad, India
",4,"Hotel with good location, service needs to be improved","
This property is a great weekend getaway from Delhi. The room and bathroom are comfortable although not extraordinary. The buffet menu is pretty average. The location is scenic and you are greeted by the occasional peacock and monkey. The property helps plan your tiger safari too.
",,"
Sariska Tiger Heaven
"
Vaibhav M,15 June 2015,"
Delhi
",4,Comfortable stay in the midst of nature,"
The Tiger Heaven resort is situated at 3-4 Hours drive from Delhi which makes it a really nice place for Weekend Getaway. We drove early morning to beat the heat and catch up on evening Safari at Sariska. Tiger Heaven is 5km away from the Safari starting point which makes it a good place to stay if you do plan...
",,"
Sariska Tiger Heaven
"
Anirudh J,11 June 2015,"
",4,Great Weekend Getaway..,"
Staff very friendly and helpful, though service needs to improve. Stayed in their luxury tents, it was an amazing experience. Their pool though small is very clean and well maintained. Activity room requires air conditioning. Had a wonderful holiday.
",,"
Sariska Tiger Heaven
"
Ved K,5 June 2015,"
New Delhi, India
",3,Peacock heaven,"
Location is reasonably good, about 5-6 KMs from Sariska Tiger Reserve Gate. Food quality is just about average. No a la carte. Hardly any room service. Room sizes are good. Maintenance is average. Overall it is a little less than 'Value for Money' proposition.
","
Dear Sir/Ma'am,
Namaste!
Thank you for choosing to holiday with us at Sariska Tiger Heaven. We appreciate your taking the time to share your review of our resort.
We apologize for not being able to deliver an exciting holiday experience to you and your family. We strive to create pleasant holidays for our revered members and guests and regret our...
","
Sariska Tiger Heaven
"
KRAMA200,3 June 2015,"
Seattle, Washington
",4,It is a good looking property.,"
The New Resort of Sterling Family is worth the name Heaven. The property is still under development,but Management and Stafff go out of the way to make you happy.The Restaurant is very good and have different dishes every time though choice is limited.The Place is calm filled with Peacocks and birds.If you like a calm holiday without hassles go for...
",,"
Sariska Tiger Heaven
"
sreeIndia,4 August 2015,"
Kolkata, India
",3,Huge property at the extreme end of Puri.,"
My daughter decided to book sterling resort Puri for us. It is on one end of Puri. When we checked into our room (which was pre booked) we were greeted by dead cockroaches and bugs all over the floor. We had to give money to the housekeeping staff to clean the room. No hair dryer, shower cap, or shampoo. The...
",,"
Puri - Golden Sands, A Sterling Holidays Resort
"
narendrarathore2,30 July 2015,"
New Delhi, India
",5,"Narendra Rathore, New Delhi","
Mast(good) location, mast greenery, mast behaviour and courtesy of all staff members, mast view of beach, it's located at beach, mast amenities. overall mast resort of puri.
My holiday experience at sterling golden sands was awesome.
It's good place for family and couple to visit.
",,"
Puri - Golden Sands, A Sterling Holidays Resort
"
vikrant s,29 July 2015,"
New Delhi, India
",4,Great location and value for money !!,"
Stayed there for 4 days with my family ( a big one at that !) and the experience was memorable. Excellent location , good food and a very courteous staff makes it a very good combo. Sea beach is only a 5 min walk away and its a virgin beach devoid of any pollution or crowds. Staff is very friendly...
",,"
Puri - Golden Sands, A Sterling Holidays Resort
"
KuntalGanguly,26 July 2015,"
Kolkata, India
",4,peaceful resort to spend few days with family,"
First of all this is a romantic hotel where anyone should visit along with family or couple. Hotel atmosphere and staffs attentiveness are quite impressive but professional. However rooms are seems to be recently renovated from a bunch of old buildings with tiny bathrooms inside. Clean and comfortable beds with adequate lighting but well maintained. Unfortunately rooms are with old...
",,"
Puri - Golden Sands, A Sterling Holidays Resort
"
TourizmDMC,22 July 2015,"
New Delhi, India
",4,Nice,"
Nice place to Stay at Puri, Although the development program is going on by the Government administration still the staff co operation never let you down......... Pool side shacks & whistles of Sea breeze add more fun to it.
",,"
Puri - Golden Sands, A Sterling Holidays Resort
"
Puneet_kalra,22 July 2015,"
New Delhi, Delhi, India
",4,Good Hotel,"
Good Hotel, wonderful staff nice food bit far from beach but truly nice experience to stay. the best part of it is the shacks they have developed to make guest comfortable with sea side experience....
",,"
Puri - Golden Sands, A Sterling Holidays Resort
"
Swagat_Aacharya,14 July 2015,"
Gurgaon, India
",3,Great rooms but poor beach and city access,"
We stayed here for 2 nights in 2 rooms. The rooms here are large and spacious with mini kitchen, living area and bedroom. The location is also great considering that the resort is far from the city centre in an isolated and peaceful area next to the sea. In spite of this, access to the sea is not easy considering...
",,"
Puri - Golden Sands, A Sterling Holidays Resort
"
praneethmacherla,3 July 2015,"
Hyderabad, India
",3,Decent but not Sterling level,"
Being a Sterling member, my dad decided to take us on a getaway to Puri and stay at Golden Sands. Initially, the first look of the resort disappointed me very very much. That feeling receded when we saw our apartment room. It was clean and neat. They had recently fixed an A/C in the living room which felt like a...
","
Dear Sir,
Namaste!
Thank you for choosing to holiday with us at Puri - Golden Sands. We appreciate your taking the time to share your review of our resort.
We apologize for not being able to live up to your expectations during your stay with us. We are regretful to learn about the inconvenience caused because of the sofa-cum-bed as...
","
Puri - Golden Sands, A Sterling Holidays Resort
"
Sujata G,2 July 2015,"
Thane, India
",3,Peaceful comfortable stay,"
We enjoyed short stay of two nights at this resort which is at secluded location bit far away from Puri city, having it's own small strech of sea shore. Apprach road , last strech of abt 2 km is not yet ready n in resort also lot of work is needed.
Staff is friendly , specially d restaurant staff helps...
",,"
Puri - Golden Sands, A Sterling Holidays Resort
"
Dola M,1 July 2015,"
Bengaluru (Bangalore), India
",2,Great staff Poor maintenance,"
Don't go by the picture you see on the website or on other platforms. It will frustrate you to no end.
It's a quiet and private place no doubt. This property is at the very end of the river and beach so there is not much thoroughfare or other activity. At the same time, it is at a fairly good...
","
Dear Sir/Ma'am,
Namaste!
Thank you for choosing to holiday with us at Puri - Golden Sands. We appreciate your taking the time to share your review of our resort.
We apologize for not being able to deliver our best during your stay with us. We are regretful for the inconvenience caused on various accounts and we are extremely grateful to...
","
Puri - Golden Sands, A Sterling Holidays Resort
"
Varun S,4 August 2015,"
",4,Very pleasant stay:),"
My father had been to the place last week and was so impressed with the hotel and service that he's making me write this review....he says rooms are spotless with clean bathrooms....and the staff is ever ready to help...special mention to Mr Sagar the receptionist and Ajith Praveen from the restaurant....one small suggestion to the management would be to arrange...
",,"
Shirdi Sai Wada
"
girishtv123,29 July 2015,"
Pune, India
",3,Stay at Saiwada,"
Made my reservation through Yatra.com,never got any confirmation neither from Yatra nor from the hotell side.Arrived at the hotel,associate was confused about the reservation and apparently 2 rooms were booked instead of one ,Didint have a very welcoming experience..room is decent for a one night stay..Free internet is kept as a secret and when asked provided the password ,however did...
",,"
Shirdi Sai Wada
"
Thyagarajan K,16 July 2015,"
",5,holy visit,"
it was excellent experience. The hospitality of sterling is well established. It was one more experience of the same. Well done rooms, ever attentive staff. good tasty food.
24 hrs hot water, Air conditioned rooms.
",,"
Shirdi Sai Wada
"
Gurgao ,17 June 2015,"
",5,Great stay at Sai Wada,"
It was indeed an awesome experience to stay at sai wada with great hospitality and services. With great care that is taken in terms of comfort, quality of food and also special requests made by the guests, I would recommend it to anyone and everyone. A wonderful experience altogether.Thank u Sterling.
",,"
Shirdi Sai Wada
"
62AK,14 May 2015,"
Chennai, India
",3,Developing Property,"
Sai Wada is a new addition to Sterling Resorts list of Resorts at Pilgrim Centres. The property is well located about 5 minutes drive from the Temple. It is relatively small property and just opened a few weeks ago. The property is still not fully operational. But seeing the developments in other Sterling Properties, in months to come this should...
",,"
Shirdi Sai Wada
"
Emraan M,28 July 2015,"
",5,Emraan Memon ,"
Visited with family very peaceful and enjoying stay. Very good and cooperative staff. Mr. Roy is the hero of the resort very friendly and professional. Rooms were neet n clean food was awesome. Overall very good trip. All thanks to staff of under the over.
",,"
Lonavala - Under the Over
"
tusharmul,27 July 2015,"
Mumbai, India
",5,Excellent Trip,"
Resort location is very good. Fantastic climate. Very good ambiance of the resort. Food was also good. Place to relax due to good nature. Over all experience was good and would like to visit in Rainy and Winter season.
",,"
Lonavala - Under the Over
"
Virendra_1984,26 July 2015,"
",1,Worst hospitality ever,"
I visited the hotel on July 24, 2015, with my family and really saw something that can be taught to students in hospitality sector...how to save on resources by ignoring customers...you call them for anything they will try to avoid you till you dont confront them...though i dint have a fight with them as i wanted to peacefully enjoy my...
","
Dear Sir,
Namaste!
We appreciate your taking the time to share your review of Lonavala - Under the Over.
We sincerely apologize for not being able to deliver a pleasant holiday experience to you. We are extremely regretful to learn that our highly trained and dedicated staff members were unable to serve you promptly. We have raised a concern with...
","
Lonavala - Under the Over
"
Mandar D,18 July 2015,"
Aurangabad, Maharashtra, India
",4,Relax and enjoy,"
It is actually a mini-resort or u can say a hotel. The rooms are good, good service and food quality is also good. Need to add more activities. Need to add more dishes in the restaurant menu card to enable better selection.
",,"
Lonavala - Under the Over
"
drjessiegrace,15 July 2015,"
Hyderabad, India
",3,More like a hotel.,"
Usually Sterling resorts have a better amenities when compared to this.
This is more of a hotel type.
Food is the remarkable which is worth every penny at the restaurant.
I would advice to book the buffet package for the day which includes unlimited breakfast,lunch & dinner.
",,"
Lonavala - Under the Over
"
Sagar M,3 July 2015,"
",4,Good place with extra ordinary food,"
Pretty good and clean rooms though needs more suites,the highlight was however the amazing food managed by f&b manager mr.rajeev das even if you're not staying here u must come here for the food,the staff is very courteous and well behaved there are many amenoties like swimming pool,games and activities,u can actually buy swimming costumes here at the price others...
",,"
Lonavala - Under the Over
"
Girish T,3 July 2015,"
",4,Good Property,"
Regardless being a sterling member, I would say its a good hotel especially for a power break from your normal routine. For Mumbaikars or Puneits, its fairly near a two hour drive & you are there. Well managed rooms, neat & cleat, great hospitality!! Food was marvelous & with great variety. Overall it was good experience.
",,"
Lonavala - Under the Over
"
KhushbuTi,29 June 2015,"
Mumbai, India
",3,Average Sterling Resort,"
A good hotel for the weekend stay. The Rooms are simple and good. The Service at the resort was good, no complaints. The amenities at the resort are not much as it is a small resort. Swimming pool and play zone is there. We didn't have food over there but the menu had good varieties. In the rainy season, the...
",,"
Lonavala - Under the Over
"
Ravi K,22 June 2015,"
",3,Just satisfactory,"
It's exactly not a resort, it's a mini resort. The staff are very friendly and helpful. Only the security guard keeps you asking every time you enter. Food is not upto the mark.rooms are small, but maintained nicely.u have to pay extra in the form of costume for using swimming pool.No news paper delivery in rooms. Overall just an ok...
",,"
Lonavala - Under the Over
"
deepali_shah37,30 May 2015,"
Chennai, India
",3,Sterling - I did not expect this at all.,"
We are a Constant member of sterling from a long time, have always been to sterling resorts where ever its located,
We booked 2 rooms nearly 1& half month in advance.
5 adults and 2 infants.
We had check in 23 may and checkout 25 may.
Problem :
we were late and reached by 9pm, but we were in constant...
","
Dear Ma'am,
Namaste!
We appreciate your taking the time to share your review of Lonavala - Under the Over.
We sincerely apologize for not being able to deliver a pleasant and smooth holiday experience to you and your family. We truly understand the inconvenience that was caused in your shifting between two places of accommodation and we are extremely regretful...
","
Lonavala - Under the Over
"
Laeeq-HR,27 July 2015,"
Ras Al Khaimah, United Arab Emirates
",1,Absolute NO NO !,"
I had booked a premium suite in the hope that it will better than the other rooms but the premium suite was run down block. No carpet on the floor, water patches on the ceiling and walls, wooden fittings chipped off, bathroom fittings rusty and pipes turned yellowish brown probably with water dripping, there wasn't even a foot mat at...
","
Dear Sir,
Namaste!
We appreciate your taking the time to share your review of Munnar - Terrace Greens.
We sincerely apologize for not being able to hold up to our usual standards of hospitality and offer a comfortable stay to you and your family. We are most deeply concerned to note the various issues that need attention that you have...
","
Munnar - Terrace Greens, A Sterling Holidays Resort
"
Barb N,27 July 2015,"
Port Coquitlam
",4,Beautiful setting,"
We had a lovely stay here while visiting the tea plantations in Munnar. Free wi-fi in the lobby. We were very impressed with the restaurant. The staff there were very good from the hostess to our waiter to the manager who came over to ensure we were happy. The breakfasts had good variety. There was a buffet for dinner but...
",,"
Munnar - Terrace Greens, A Sterling Holidays Resort
"
Scott N,27 July 2015,"
Port Coquitlam, Canada
",4,"Friendly staff, good food","
From the moment of arrival to the time we left, all the staff were excellent. They all ensured we were having a good stay. We stayed for two nights while we toured the area. Food was excellent. Good variety for the buffet breakfast. We ordered off the menu for dinner. Nice views from the hotel.
",,"
Munnar - Terrace Greens, A Sterling Holidays Resort
"
vidpra,26 July 2015,"
Navi Mumbai, India
",4,Good Property,"
The hotel is far away from Munnar but the view is good. Unnecessary travel time of above 1 hour is required as the road is narrow. Difficult to visit Munnar town if you stay in this hotel. Food is very expensive so it's better to buy from outside which means from Munnar town. Service is very slow. Good hotel if...
",,"
Munnar - Terrace Greens, A Sterling Holidays Resort
"
thiagu-85,26 July 2015,"
Tiruchirappalli, India
",5,Great Hospitality & Excellent Climate,"
We had a wonderful experience in Munnar.!
Room were spacious for couple and gave as per our convenient. we had enough assistance from house keeping people by cleaning our room and making us more comfortable.
Food part need to say,we had some Kerala special Putt u & kadala Curry, app am with stew in b/f and good spread of buffet...
",,"
Munnar - Terrace Greens, A Sterling Holidays Resort
"
Ishpreet P,25 July 2015,"
",4,good stay,"
its a good property at a good place.... had a good stay and start to my trip .... best part is the golf cart dropping you at ur apartment... food was good...and the staff was very courteous ... sply our hotel taxi driver Mr. Johnson who turned out to be a very good guide also.... we took him to thekaddy...
",,"
Munnar - Terrace Greens, A Sterling Holidays Resort
"
Rajesh S,24 July 2015,"
Chennai, India
",3,Worst Experience Ever !!!,"
I happened visit Munnar along with my family and friends got to know about Sterling hence we booked two rooms here... The Story Started....
After three hours of tiring journey from Madurai Railyway station in the morning along with mostly 10 years below kids we have reached Sterling Munnar ...
Lot of staffs were present in the lobby and front...
","
Dear Sir,
Namaste!
We appreciate your taking the time to share your review of Munnar - Terrace Greens.
We sincerely apologize for letting you down during your stay at our resort. We are extremely regretful to learn that our staff was unable to extend a warm welcome and a pleasant experience to you. We have noted your feedback regarding front...
","
Munnar - Terrace Greens, A Sterling Holidays Resort
"
Varun V,21 July 2015,"
",5,Pleasant and calm,"
Far from the Munnar crowd and the best place to be in Munnar. Calm and pleasant!!! Activity area is really nice and filled with lot of indoor games! Adventurous drive and shouldn't miss the world's highest tea plantation which is very near to the resort!
",,"
Munnar - Terrace Greens, A Sterling Holidays Resort
"
rr_kanna,20 July 2015,"
Coimbatore, India
",5,Veery good Trip,"
we spent 3 days in Terrace Greens , we feel like home and Food also excellant nice location and rooms was neat and clean
i can remember few staff the treat us like relatives Danial, Bala, Mishra , Lingston and sathies
",,"
Munnar - Terrace Greens, A Sterling Holidays Resort
"
amanseema1979,14 July 2015,"
",5,Memorable trip,"
It's like dreams come true . tasty natural food . comfort being . close to nature . stay in munnar not for two days full weak is also less. Site seens very memorable close to nature lot of activities games enjoyed in resort . Visit to sandal forest and going to chinnar tacking different experience. Many beautiful site seens totally...
",,"
Munnar - Terrace Greens, A Sterling Holidays Resort
"
kushal g,15 July 2015,"
Navi Mumbai, India
",4,Outstanding ATTITUDE of staff..,"
The Staff here are extremely well trained and would always try to make you happy.
The resort is well kept and very neat and clean, right from the entrance to the rooms, they have an activity center with carom, ludo, snakes and ladders , TT , PS3 , Disco and various other activities organised by them. I loved the A/C...
",,"
Daman-Casa Tesoro
"
PriyankaTharur,15 July 2015,"
Mumbai, India
",4,Excellent Hospitality,"
Have recently visited this place through Sterling, it is a small resort but very neat & clean. The USP of this place is its Hospitality, the service is too good & gives a home like feeling. The staff are very helpful & polite.
Food is good, however they can work more on food varieties.
",,"
Daman-Casa Tesoro
"
KishorNadkarni,14 July 2015,"
Mumbai, India
",3,Short & Sweet,"
Hotel is Good. Staff is Very Helpful and well behaved. Food quality should be improved. Over all experience is good.
On my request Resort Manager Mr. Sanyal has done early check in for my guest.
I will be visiting once again in Sept or October '15 with my family.
",,"
Daman-Casa Tesoro
"
Surojeet M,13 July 2015,"
Thane, India
",5,Excellent Service & good place to be in,"
nice property, clean. major highlight is the service provided by Hotel staff under the guidance of Mr. Anirban & Mr. Girish. The food was very good. i would highly recommend my friends to book their holiday / business trips in this hotel.
",,"
Daman-Casa Tesoro
"
malleka,13 July 2015,"
Mumbai, India
",5,excellent resort,"
I am very much impressed by staying in Daman Casa Tesoro resort. Very good resort very good service . Even food is very good, all the staff members are very co operative & feel us very homely .Thanks to all for making my holidays wonderful
Malleka M Gandhi
",,"
Daman-Casa Tesoro
"
anand67131,12 July 2015,"
Shahapur, India
",5,"WONDERFUL HOSPITALITY, EXPERIENCE THE BEST SERVICE","
It was a great experience in daman casa tesoro resort, the manager mr.sanyal is a wonderful person and respects and fulfills every single wish of a traveller...undoubtedly the food of sterling is excellent..I had my one of the best ever breakfasts in casa resort...right from the call boy to the manager will be there to welcome you when you will...
",,"
Daman-Casa Tesoro
"
Pramit1968,12 July 2015,"
Mumbai, India
",5,Hotel,"
Ambiance very good welcome to hotel very nice stay with my family for 3 nights it was fantastic. Service up to mark very co operative and friendly .Food in restaurant for jain fabulous. Overall very nice place to stay with family.
",,"
Daman-Casa Tesoro
"
MOHIT S,11 July 2015,"
",5,Great Experience- Completely worth,"
I had visited Daman on a family vacation and chose Daman Casa Tesoro for my stay. Out of all the properties that i have stayed at during my previous visits to Daman, i found Daman Casa Tesoro the best. We were given hastle free early checkin with a welcome drink and warm greeting at the reception. Nice and clean rooms,...
",,"
Daman-Casa Tesoro
"
Jayeshu17878,8 July 2015,"
Mumbai, India
",5,Casa - Tesoro... A Great Retreat,"
Our expectations were perfectly met at Casa - Tesoro, its an excellent get away for a romantic, family, adventure weekend.
The food, the ambience, the staff, the facilities, the infrastructure were above our expectations.
We enjoyed our stay there.
Keep it up Mr. Saniyal & team.
Thanks !
",,"
Daman-Casa Tesoro
"
Pranav1812,7 July 2015,"
Vadodara, India
",4,"Excellent Hospitality, Excellent Attention to the smallest of need from Mr. Anirban Sanyal , GM, Casa Tesoro.","
The rating provided above which is excellent implies on for the Hospitality provided by Mr. Sanyal and Staff at Casa Tesoro.
The staff at Casa Tesoro, was excellent, Specially the cooperation and the resolutions provided by Mr. Anirban Sanyal would encourage me to recommend lot of friends to Opt for a visit to Casa Tesoro, or wherever MR Sanyal is,...
",,"
Daman-Casa Tesoro
"
KhushbuTi,23 July 2015,"
Mumbai, India
",3,Average resort and old rooms,"
We faced problem during our stay in this Resort. Check-in at the hotel was proper. When we saw the rooms, they were very old. There is renovation going in other rooms. We had some how settled with the old room but we faced another problem. There was lots of noise coming from the wedding near the resort. We requested for...
",,"
Kodai - Valley View, A Sterling Holidays Resort
"
nist123,15 July 2015,"
Chennai, India
",4,Pleasant stay from start to finish with excellent service.,"
We are from a corporate company and around 60 of us stayed there. We really enjoyed our 3 days stay at Kodai Valley with excellent service by your staffs. A friendly approach by Mr.Kiruthi, Mr.Vincent & Mr.Fiaz made us feel good. They were at our service whenever we needed.
We enjoyed a
Clean & neat atmosphere
Comfortable Rooms
Good housekeeping...
",,"
Kodai - Valley View, A Sterling Holidays Resort
"
Dinesh_2010,4 July 2015,"
Chennai
",3,A mixed bag!,"
Went there with 4 of my friends during Jun'15. Located some 3-4 kms from the lake (which is considered the center of the town). Stayed in a two bedroom apartment. Not much of a view from the room. Apartment was spacious & was large for four of us. Rooms were good and the bed linen were of good quality. Rooms...
",,"
Kodai - Valley View, A Sterling Holidays Resort
"
skrishnamur5,14 June 2015,"
Mumbai
",5,Awesome experience,"
I stayed in sterling resorts nearly one week in kodai at Valley view Sterling resorts and experienced a nice stay. The resort has all the facilities for a perfect relaxation with 5 star facilities and at the same time remains as a home away from home.
My experience at sterling resorts Valley view was a memorable one and right form...
",,"
Kodai - Valley View, A Sterling Holidays Resort
"
Manishm92,11 June 2015,"
",4,Manish,"
Excellent location, good service, good food, only issue that we encountered was that our room was in need of heavy renovation. Overall a good stay. Some renovation is going on but does not disturb. Lighting in rooms needs to be improved
",,"
Kodai - Valley View, A Sterling Holidays Resort
"
Paattil,6 June 2015,"
Kodaikanal, India
",5,Excellent And Pleasant Stay,"
We stayed for a night family of 4 member on 5th June 2015.Friendly and professionally trained staff.Excellent food and the view from the room was exceptional.We enjoyed the day.This is the one of the best resort in kodai.The best resort with excellent location with best amenities.Excellent service by the sterling kodai valley view management.Sure we will visit again the property
",,"
Kodai - Valley View, A Sterling Holidays Resort
"
pinky s,3 June 2015,"
Mumbai, India
",1,terrible place to be at sterlings valley view..,"
Very very bad conditions of the room.. its better to be at home than to waste ur time n money on such property. Worst service.... worst food.... nothing good about the whole resort... worst place have ever visited...
","
Dear Sir/Ma'am,
Namaste!
We appreciate your taking the time to share your review of Kodai - Valley View.
We apologize for not being able to deliver a pleasant holiday experience to you and your family. We have noted your feedback on room, service and food and forwarded the same to the Resort Management team at our corporate office. We most...
","
Kodai - Valley View, A Sterling Holidays Resort
"
koushik v,3 June 2015,"
",3,Nice place but still needs work ,"
Stayed here for 2 days with family .Rooms were new and maintained well. Service was good .To mention names Mr Ramesh and Mr Daniel at the spa provided good service.But the place is still under renovation ,work needs to be done on food , more fun activities have to be arranged compared to lake view which is at a very...
",,"
Kodai - Valley View, A Sterling Holidays Resort
"
Kaushal281177,29 May 2015,"
Mumbai, India
",3,Good Place but Bad Experience,"
We had been allotted old Rooms as such we had booked to rooms based on the photos put up by the resort on their site.
However we found out later on that the resort is still under renovation and new rooms are still being getting ready
So the Old rooms are not up to the mark and felt little uncomfortable....
","
Dear Sir,
Namaste!
Thank you for choosing to holiday with us at Kodai - Valley View. We appreciate your taking the time to share your review of our resort.
We apologize for not being able to extend a pleasant and comfortable stay to you and your family. We are particularly apologetic for the disturbance caused because of the ongoing wedding...
","
Kodai - Valley View, A Sterling Holidays Resort
"
